Id;Lado;Conciliação;Regra;Status;Code;Sum;Max;Min;Avg;Sum (Diferença);Max (Diferença);Min (Diferença);Avg (Diferença)
1;1;Aggregation [En-Us];Rule 1;Batido;1;1;3;5;10;;;;
2;1;Aggregation [En-Us];Rule 1;Batido;1;1;6;6;20;;;;
3;1;Aggregation [En-Us];Rule 1;Batido;1;1;9;7;30;;;;
4;1;Aggregation [En-Us];Rule 1;Batido;2;1;9;7;20;;;;
5;1;Aggregation [En-Us];Rule 1;Divergente;3;1;9;7;20;1/0;9/0;7/0;20/0
6;1;;;Órfão;4;1;9;7;20;;;;
1;2;Aggregation [En-Us];Rule 1;Batido;1;3;9;5;20;;;;
2;2;Aggregation [En-Us];Rule 1;Batido;2;1;9;7;20;;;;
3;2;Aggregation [En-Us];Rule 1;Divergente;3;0;0;0;0;1/0;9/0;7/0;20/0
4;2;;;Órfão;5;1;9;7;20;;;;
