Id;Lado;Conciliação;Regra;Status;Campo 1;Campo 2;Campo 3;Campo 4;Campo 5;Campo 6;Campo 7;Campo 8;Campo 3 (Diferença);Campo 4 (Diferença);Campo 5 (Diferença);Campo 6 (Diferença);Campo 7 (Diferença);Campo 8 (Diferença)
1;1;Conciliação 1;Regra 1;Batido;1;20220101;Text 1;1000;0;0;0;0;;;;;;
2;1;Conciliação 1;Regra 1;Divergente;2;20220202;Text-2;2002;0;0;0;0;Text-2/Text 2;2002/2000;;;;
3;1;;;Órfão;3;20220303;Text 3;3000;0;0;0;0;;;;;;
4;1;Conciliação 1;Regra 1;Batido;10;;;0;1;3;5;10;;;;;;
5;1;Conciliação 1;Regra 1;Batido;10;;;0;1;6;6;20;;;;;;
6;1;Conciliação 1;Regra 1;Batido;10;;;0;1;9;7;30;;;;;;
7;1;Conciliação 1;Regra 1;Divergente;11;;;0;1;3;5;10;;;3/0;9/0;5/0;20/0
8;1;Conciliação 1;Regra 1;Divergente;11;;;0;1;6;6;20;;;3/0;9/0;5/0;20/0
9;1;Conciliação 1;Regra 1;Divergente;11;;;0;1;9;7;30;;;3/0;9/0;5/0;20/0
1;2;Conciliação 1;Regra 1;Batido;1;20220101;Text 1;500;0;0;0;0;;;;;;
2;2;Conciliação 1;Regra 1;Batido;1;20220101;Text 1;500.01;0;0;0;0;;;;;;
3;2;Conciliação 1;Regra 1;Divergente;2;20220202;Text 2;2000;0;0;0;0;Text-2/Text 2;2002/2000;;;;
4;2;;;Órfão;4;20220404;Text 4;4000;0;0;0;0;;;;;;
5;2;Conciliação 1;Regra 1;Batido;10;;;0;3;9;5;20;;;;;;
6;2;Conciliação 1;Regra 1;Divergente;11;;;0;0;0;0;0;;;3/0;9/0;5/0;20/0
