Id;Lado;Conciliação;Regra;Status;Field 1;Field 2;Field 3;Field 4;Field 5;Field 6;Field 7;Field 8;Field 3 (Diferença);Field 4 (Diferença)
1;1;Recon 1;Rule 1;Batido;1;20220101;Text 1;0;0;0;0;0;;
2;1;Recon 1;Rule 1;Divergente;2;20220202;Text-2;0;0;0;0;0;Text-2/Text 2;
3;1;;;Órfão;3;20220303;Text 3;0;0;0;0;0;;
4;1;Recon 1;Rule 1;Batido;10;;;0;0;0;0;0;;
5;1;Recon 1;Rule 1;Batido;10;;;0;0;0;0;0;;
6;1;Recon 1;Rule 1;Batido;10;;;0;0;0;0;0;;
1;2;Recon 1;Rule 1;Batido;1;20220101;Text 1;0;0;0;0;0;;
2;2;Recon 1;Rule 1;Batido;1;20220101;Text 1;0;0;0;0;0;;
3;2;Recon 1;Rule 1;Divergente;2;20220202;Text 2;0;0;0;0;0;Text-2/Text 2;
4;2;;;Órfão;4;20220404;Text 4;0;0;0;0;0;;
5;2;Recon 1;Rule 1;Batido;10;;;0;0;0;0;0;;
