Id;Lado;Conciliação;Regra;Status;Código;Somatória;Máximo;Mínimo;Média;Somatória (Diferença);Máximo (Diferença);Mínimo (Diferença);Média (Diferença)
1;1;Tesde com funções agregadas;Regra 1;Batido;1;1;3;5;10;;;;
2;1;Tesde com funções agregadas;Regra 1;Batido;1;1;6;6;20;;;;
3;1;Tesde com funções agregadas;Regra 1;Batido;1;1;9;7;30;;;;
4;1;Tesde com funções agregadas;Regra 1;Batido;2;1;9;7;20;;;;
5;1;Tesde com funções agregadas;Regra 1;Divergente;3;1;9;7;20;1/0;9/0;7/0;20/0
6;1;;;Órfão;4;1;9;7;20;;;;
1;2;Tesde com funções agregadas;Regra 1;Batido;1;3;9;5;20;;;;
2;2;Tesde com funções agregadas;Regra 1;Batido;2;1;9;7;20;;;;
3;2;Tesde com funções agregadas;Regra 1;Divergente;3;0;0;0;0;1/0;9/0;7/0;20/0
4;2;;;Órfão;5;1;9;7;20;;;;
